i,x,y,u_avg,rank,pct_rank
1048,0.418083294106462,0.605567546767649,0.0937421263305933,1187,0.218193803559658
289,0.641442627579029,0.825690242360377,0.0921238073906743,1188,0.217534607778511
568,0.511263773577324,0.695352384700165,0.0920443055614207,1189,0.216875411997364
1108,0.412948300159202,0.596976728745549,0.0920142142931733,1190,0.216216216216217
4430,0.359400708199664,0.543167912151222,0.0918836019757792,1191,0.21555702043507
458,0.604492043504387,0.787169968357869,0.0913389624267409,1192,0.214897824653923
753,0.469143044953908,0.651557842969951,0.0912073990080211,1193,0.214238628872776
2371,0.206017582386504,0.386478297284306,0.0902303574489009,1194,0.213579433091629
2137,0.183708426034365,0.364093477152342,0.0901925255589884,1195,0.212920237310482
2665,0.141448294863916,0.321365794519821,0.0899587498279528,1196,0.212261041529335
2612,0.256929095212633,0.436345878299865,0.0897083915436161,1197,0.211601845748188
989,0.418348403754384,0.597262741075806,0.0894571686607109,1198,0.210942649967041
287,0.665888865985112,0.844122804970164,0.0891169694925258,1199,0.210283454185894
227,0.70591795499555,0.881801209759784,0.0879416273821174,1200,0.209624258404747
694,0.50332075860949,0.67594421794435,0.0863117296674301,1201,0.2089650626236
1168,0.414990501891614,0.587530200467843,0.0862698492881149,1202,0.208305866842453
1259,0.284458295439274,0.456780565333514,0.0861611349471203,1203,0.207646671061306
1049,0.418083294106462,0.588395201869621,0.0851559538815796,1204,0.206987475280159
1290,0.402391161393515,0.572652437944897,0.0851306382756911,1205,0.206328279499012
2791,0.361847239834467,0.531510035022826,0.0848313975941793,1206,0.205669083717865
3957,0.106610671600484,0.276159181594361,0.0847742549969386,1207,0.205009887936718
1228,0.408586593932463,0.577459572700276,0.0844364893839062,1208,0.204350692155571
871,0.434721518502014,0.602247514713555,0.0837629981057706,1209,0.203691496374424
288,0.675634755304276,0.842035973629406,0.0832006091625647,1210,0.203032300593277
1109,0.412948300159202,0.578681285137518,0.0828664924891579,1211,0.20237310481213
2606,0.145255036899588,0.309986551985339,0.0823657575428756,1212,0.201713909030983
229,0.713608284432634,0.878233534468937,0.0823126250181516,1213,0.201054713249836
929,0.447069828509072,0.609635156549484,0.081282664020206,1214,0.200395517468689
1144,0.251079466700677,0.412238667016705,0.0805796001580138,1215,0.199736321687542
872,0.407986110174026,0.569059092081352,0.0805364909536628,1216,0.199077125906395
2732,0.360675237389822,0.520613279239721,0.0799690209249499,1217,0.198417930125248
1494,0.277169535906645,0.436183960416467,0.079507212254911,1218,0.197758734344101
3897,0.133705574536668,0.289963747803277,0.0781290866333042,1219,0.197099538562954
2840,0.140469290315542,0.296149362604262,0.0778400361443597,1220,0.196440342781807
2898,0.140469290315542,0.295329458108915,0.0774300838966863,1221,0.19578114700066
990,0.424975629182849,0.578946103373923,0.076985237095537,1222,0.195121951219513
930,0.434721518502014,0.588576185025782,0.0769273332618841,1223,0.194462755438366
1169,0.414990501891614,0.568338811928393,0.0766741550183897,1224,0.193803559657219
622,0.467578678288001,0.618106369230437,0.0752638454712179,1225,0.193144363876072
1229,0.408586593932463,0.558459494924804,0.0749364504961704,1226,0.192485168094925
1050,0.418083294106462,0.567790809676558,0.074853757785048,1227,0.191825972313778
2547,0.144276032351214,0.291445868923547,0.0735849182861665,1228,0.191166776532631
2956,0.119732812863478,0.263700472586534,0.071983829861528,1229,0.190507580751484
346,0.653679946861961,0.797329202604486,0.0718246278712626,1230,0.189848384970337
226,0.732036959062344,0.875498564712022,0.0717308028248393,1231,0.18918918918919
1110,0.413721587879723,0.556028648075818,0.0711535300980476,1232,0.188529993408043
2790,0.360675237389822,0.499417315661554,0.0693710391358661,1233,0.187870797626896
228,0.742735229805964,0.881332686123796,0.0692987281589159,1234,0.187211601845749
1230,0.409855507944354,0.547013705433715,0.0685790987446806,1235,0.186552406064602
3189,0.0811366954696959,0.215563591401522,0.0672134479659133,1236,0.185893210283455
754,0.483533556693378,0.617109640634326,0.0667880419704741,1237,0.185234014502308
567,0.486521894820392,0.619937272841094,0.0667076890103511,1238,0.184574818721161
2488,0.144079530688189,0.276775486017657,0.0663479776647341,1239,0.183915622940014
1231,0.409855507944354,0.540311146997443,0.0652278195265447,1240,0.183256427158867
737,0.427213258434279,0.557121874619908,0.0649543080928143,1241,0.18259723137772
1170,0.414990501891614,0.544646358115439,0.0648279281119127,1242,0.181938035596573
285,0.705892441986934,0.832383037258103,0.0632452976355846,1243,0.181278839815426
873,0.408152882824631,0.534569795021139,0.0632084560982543,1244,0.180619644034278
2020,0.183708426034365,0.309215706979449,0.0627536404725417,1245,0.179960448253131
931,0.434721518502014,0.56016305772154,0.0627207696097633,1246,0.179301252471984
577,0.560028646012743,0.685311890674683,0.0626416223309698,1247,0.178642056690837
344,0.684741851689647,0.809388304863865,0.0623232265871087,1248,0.17798286090969
991,0.424975629182849,0.54858506674093,0.0618047187790406,1249,0.177323665128543
3837,0.22172181727938,0.344645856726072,0.0614620197233458,1250,0.176664469347396
1232,0.409855507944354,0.532734149081919,0.0614393205687824,1251,0.176005273566249
1051,0.418083294106462,0.536775172102066,0.0593459389978022,1252,0.175346077785102
1903,0.183708426034365,0.302335304175861,0.0593134390707479,1253,0.174686882003955
2312,0.206017582386504,0.323510154549534,0.058746286081515,1254,0.174027686222808
1669,0.228440089310822,0.345914422694221,0.0587371666916994,1255,0.173368490441661
932,0.413121104121286,0.529074024763212,0.0579764603209629,1256,0.172709294660514
813,0.47781220285656,0.593214121660628,0.057700959402034,1257,0.172050098879367
457,0.51018665522062,0.624599742148374,0.0572065434638772,1258,0.17139090309822
852,0.348693676085465,0.461514193538908,0.0564102587267215,1259,0.170731707317073
2429,0.13453014303205,0.245940272096254,0.0557050645321022,1260,0.170072511535926
167,0.776568886277453,0.887859404234871,0.0556452589787087,1261,0.169413315754779
405,0.637479636076415,0.747593716893903,0.0550570404087441,1262,0.168754119973632
2782,0.141055291537865,0.250883509653765,0.0549141090579498,1263,0.168094924192485
1111,0.418856581826983,0.525471822371719,0.0533076202723682,1264,0.167435728411338
1435,0.277755537128968,0.383484059314433,0.0528642610927324,1265,0.166776532630191
1172,0.409855507944354,0.51486951541262,0.0525070037341334,1266,0.166117336849044
345,0.686010765701538,0.790947519540984,0.0524683769197232,1267,0.165458141067897
1084,0.251079466700677,0.354147965599639,0.0515342494494809,1268,0.16479894528675
636,0.561297560024634,0.664316613613643,0.0515095267945046,1269,0.164139749505603
1786,0.216844553176692,0.316318085289423,0.0497367660563657,1270,0.163480553724456
3600,0.198135475880962,0.292871530576417,0.0473680273477275,1271,0.162821357943309
460,0.765336944666944,0.859630885326593,0.0471469703298248,1272,0.162162162162162
347,0.705089516946753,0.798992029341749,0.046951256197498,1273,0.161502966381015
992,0.42574891690337,0.517737512444506,0.0459942977705678,1274,0.160843770599868
1171,0.431363616639243,0.523281522729421,0.0459589530450888,1275,0.160184574818721
4016,0.259501950423696,0.349051535501327,0.0447747925388153,1276,0.159525379037574
1175,0.413721587879723,0.50090262436339,0.0435905182418334,1277,0.158866183256427
1173,0.420125495838873,0.506437680112867,0.0431560921369968,1278,0.15820698747528
1112,0.418856581826983,0.504947004204975,0.0430452111889963,1279,0.157547791694133
3365,0.116885151437489,0.202664314545718,0.0428895815541144,1280,0.156888595912986
933,0.413121104121286,0.498578381198993,0.0427286385388538,1281,0.156229400131839
695,0.556162566077374,0.64125006018393,0.0425437470532782,1282,0.155570204350692
3073,0.119929314526503,0.203165208537434,0.0416179470054656,1283,0.154911008569545
1052,0.424256685422165,0.506159216684152,0.0409512656309935,1284,0.154251812788398
1174,0.420125495838873,0.501358209405178,0.040616356783152,1285,0.153592617007251
1085,0.251079466700677,0.331697936754242,0.0403092350267824,1286,0.152933421226104
404,0.684741851689647,0.764548937488811,0.0399035428995817,1287,0.152274225444957
2195,0.206410585712554,0.286062702043716,0.0398260581655807,1288,0.15161502966381
814,0.480905353738643,0.559089741642508,0.0390921939519324,1289,0.150955833882663
515,0.518839803211505,0.591705357759696,0.0364327772740957,1290,0.150296638101516
169,0.807155579270263,0.878960601444782,0.0359025110872597,1291,0.149637442320369
1113,0.419121691474905,0.490720622929771,0.0357994657274332,1292,0.148978246539222
1142,0.251079466700677,0.322172840841413,0.0355466870703679,1293,0.148319050758075
2897,0.119732812863478,0.188137727915568,0.0342024575260453,1294,0.147659854976928
1114,0.419121691474905,0.483202620609446,0.0320404645672706,1295,0.147000659195781
2781,0.144276032351214,0.207725187421264,0.0317245775350247,1296,0.146341463414634
1053,0.423483397701644,0.486426171216249,0.0314713867573026,1297,0.145682267633487
